nom,tailleMot,nbResults
discreteness,12,469000
congener,8,775000
snaffled,8,145000
bugger,6,7740000
unity,5,202000000
cider,5,56700000
hymns,5,28500000
legislation,11,200000000
complexions,11,36300000
zinging,7,258000
intensive,9,178000000
augments,8,4520000
microprocessor,14,21900000
overexposes,11,2480000
citizens,8,341000000
rumpled,7,1900000
rubberising,11,133000
equidistantly,13,910000
entreating,10,568000
crusted,7,11700000
hercules,8,87400000
gutted,6,12100000
belying,7,485000
barter,6,27900000
identical,9,186000000
pomeranians,11,2780000
scriptoria,10,208000
helsinki,8,120000000
cartography,11,15100000
juror,5,6210000
meat,4,406000000
annotation,10,58400000
burnoose,8,64000
scantily,8,3790000
against,7,1970000000
constructors,12,10300000
infestation,11,20000000
convert,7,413000000
languorous,10,497000
autobahn,8,32300000
zeffirelli,10,1400000
bridgnorth,10,2730000
damped,6,5130000
icosahedron,11,1030000
dieppe,6,12800000
finances,8,1320000000
procrastinates,14,284000
caftans,7,2240000
welder,6,63800000
physiognomies,13,126000
dehisce,7,161000
bloc,4,135000000
assuage,7,2560000
drumbeat,8,1660000
lispers,7,34400
happening,9,439000000
mortgages,9,151000000
link,4,5410000000
chromatography,14,36500000
pitmen,6,264000
chauffeurs,10,12700000
ankle,5,263000000
mademoiselle,12,40800000
leveraged,9,13300000
overmanning,11,215000
stormiest,9,204000
suburbanised,12,23800
worldlier,9,54400
having,6,2190000000
unsold,6,10100000
boisterously,12,353000
senator,7,159000000
obligation,10,175000000
fieldman,8,416000
calvinism,9,1930000
penalisation,12,228000
balderdash,10,910000
unity,5,202000000
ungenerous,10,565000
fuzziness,9,1620000
sons,4,1030000000
deviates,8,6020000
underreport,11,507000
suitably,8,35300000
assuages,8,153000
ascetically,11,171000
brush,5,339000000
linlithgow,10,2510000
bissau,6,320000000
aspartame,9,4770000
danelagh,8,17100
tangos,6,148000000
irises,6,6770000
stephanotis,11,1120000
mailers,7,8990000
chokedamp,9,30000
pawnees,7,154000
sacristy,8,938000
muscularity,11,909000
diploid,7,3600000
riddling,8,542000
restraining,11,16100000
cabooses,8,565000
remorselessly,13,385000
switched,8,141000000
wolf,4,556000000
concerto,8,90800000
protocols,9,141000000
fruitlessness,13,102000
matinees,8,2320000
slacking,8,6890000
rampancy,8,108000
impatience,10,20100000
diaphanously,12,48800
comp,4,336000000
unveiling,9,23000000
monroe,6,313000000
brusquest,9,6010
wandered,8,18600000
massacres,9,9390000
rental,6,762000000
pharisee,8,1690000
emptying,8,14400000
outsiders,9,39400000
mobiles,7,5320000000
boson,5,7640000
prolongs,8,13000000
tenement,8,5960000
reediest,8,14900
triangular,10,54900000
methuselah,10,1430000
hello,5,1220000000
snottily,8,67000
overlay,7,135000000
pantaloon,9,3490000
whitlow,7,2330000
bandaged,8,3860000
popular,7,3810000000
antiserum,9,3270000
coined,6,16900000
abducted,8,23100000
honeyed,7,2400000
sanitises,9,66200
tabling,7,2560000
adversity,9,20200000
legitimisation,14,212000
transcendentally,16,206000
privet,6,10000000
gamete,6,1930000
globalization,13,44000000
squalled,8,71100
soggier,7,50000
mulish,6,253000
radcliffe,9,36300000
granted,7,257000000
athleticism,11,5440000
tingle,6,10500000
obsequy,7,35900
monarchs,8,12100000
venia,5,22100000
meringues,9,5970000
thirteenth,10,17100000
tunnage,7,45700
excels,6,11500000
glyph,5,9930000
auspiciously,12,382000
craned,6,963000
marimbas,8,1420000
clergymen,9,3350000
narks,5,495000
ululate,7,139000
outrageous,10,43900000
slipcovers,10,13100000
supersaturated,14,1160000
